year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,date
2024,11,UA,United Air Lines Network,BNA,"Nashville, TN: Nashville International",542.0,94.0,26.33,2.04,36.5,0.0,29.13,0.0,0.0,6017.0,1212.0,193.0,1465.0,0.0,3147.0,0.17343173431734318,2024-11-01
2024,11,UA,United Air Lines Network,BOS,"Boston, MA: Logan International",1075.0,216.0,65.42,5.05,75.93,0.0,69.6,0.0,2.0,14162.0,3450.0,543.0,3606.0,0.0,6563.0,0.20093023255813955,2024-11-01
2024,11,UA,United Air Lines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",298.0,37.0,13.94,0.61,15.37,0.0,7.08,0.0,0.0,1823.0,864.0,65.0,602.0,0.0,292.0,0.12416107382550336,2024-11-01
2024,11,UA,United Air Lines Network,CLT,"Charlotte, NC: Charlotte Douglas International",346.0,62.0,17.35,0.01,31.78,0.0,12.86,0.0,0.0,3128.0,756.0,1.0,1232.0,0.0,1139.0,0.1791907514450867,2024-11-01
2024,11,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",499.0,76.0,29.42,2.8,22.27,0.0,21.5,0.0,1.0,4175.0,1451.0,168.0,1042.0,0.0,1514.0,0.1523046092184369,2024-11-01
2024,11,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",8315.0,1228.0,345.72,20.52,416.68,0.0,445.09,33.0,5.0,77386.0,23222.0,1688.0,16320.0,0.0,36156.0,0.1476849067949489,2024-11-01
2024,11,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",771.0,149.0,37.5,3.73,69.64,0.0,38.13,2.0,8.0,10937.0,1793.0,345.0,4723.0,0.0,4076.0,0.1932555123216602,2024-11-01
2024,11,UA,United Air Lines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",214.0,30.0,13.04,0.8,5.17,0.0,10.99,0.0,0.0,2089.0,687.0,56.0,277.0,0.0,1069.0,0.14018691588785046,2024-11-01
2024,11,UA,United Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",5824.0,1565.0,217.69,30.03,1023.08,0.0,294.2,22.0,12.0,129175.0,18738.0,2589.0,80537.0,0.0,27311.0,0.26871565934065933,2024-11-01
2024,11,UA,United Air Lines Network,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",715.0,93.0,26.06,2.11,29.74,0.0,35.09,1.0,0.0,5622.0,1589.0,153.0,1204.0,0.0,2676.0,0.13006993006993006,2024-11-01
2024,11,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2844.0,293.0,113.0,2.19,70.95,0.0,106.86,11.0,1.0,18651.0,7472.0,170.0,2500.0,0.0,8509.0,0.1030239099859353,2024-11-01
